Audi;A6;tumesinine;nelikvedu;manuaal;06/1998;bensiin;2.8 V6 (142 kW);317 103 km ·;1500 EUR;;https://www.auto24.ee/used/3362319
Audi;A6;hõbedane met.;;manuaal;02/2006;bensiin;2.0 r4 (125 kW);218 000 km ·;1500 EUR;;https://www.auto24.ee/used/3233048
Audi;A8;hall;esivedu;automaat;08/2000;bensiin;2.8 (142 kW);340 000 km;1800 EUR;1500 EUR;https://www.auto24.ee/used/3354546
Audi;A4;tumepruun;esivedu;automaat;01/2009;diisel;2.0 (105 kW);342 000 km ·;1520 EUR;Oksjon;https://www.auto24.ee/used/3360032
Audi;A4;must;esivedu;automaat;04/2003;diisel;2.5 (120 kW);330 000 km;1520 EUR;;https://www.auto24.ee/used/3337722
Audi;A6;tumeroheline met.;esivedu;manuaal;04/1998;diisel;1.9 (81 kW);330 000 km;;1530 EUR;https://www.auto24.ee/used/3268191
Audi;A4;hõbedane met.;esivedu;manuaal (6k);08/2004;diisel;2.5 (120 kW);313 000 km;2500 EUR;1590 EUR;https://www.auto24.ee/used/3329793
Audi;A6;tumesinine;esivedu;manuaal;09/2003;diisel;1.9 TDI (96 kW);324 000 km;2000 EUR;1599 EUR;https://www.auto24.ee/used/3362321
Audi;A8;must;esivedu;automaat;03/1998;bensiin;2.8 (142 kW);350 000 km;2200 EUR;1599 EUR;https://www.auto24.ee/used/3347268
Audi;A8;hõbedane met.;nelikvedu;automaat;11/2001;diisel;2.5 (132 kW);411 000 km;2099 EUR;1599 EUR;https://www.auto24.ee/used/3268758
Audi;80;tumesinine;esivedu;manuaal;1984;bensiin;2.0 Otto (115 kW);;1600 EUR;;https://www.auto24.ee/used/3300383
Audi;A3;roheline;esivedu;manuaal;06/1999;diisel;1.9 (66 kW);328 000 km;1600 EUR;;https://www.auto24.ee/used/3359389
Audi;A4;must;nelikvedu;manuaal;07/2000;bensiin;1.8 R4T (110 kW);;1700 EUR;1600 EUR;https://www.auto24.ee/used/3352615
Audi;A4;must;esivedu;automaat (Multitronic);02/2002;bensiin;2.4 V6 (125 kW);368 000 km;1600 EUR;;https://www.auto24.ee/used/2083544
Audi;A6;hõbedane;esivedu;manuaal;10/2005;bensiin;2.4 (130 kW);260 000 km;1800 EUR;1600 EUR;https://www.auto24.ee/used/3358766
